Trade Name,Packaging/Brand Style,UPC,Carton Name,UPC (Carton or Roll),Manufacturer
1839 Blue 100s Filtered Cigarettes,20 ct Box,879982001196,10 pk Carton,879982001233,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1839 Blue King Filtered Cigarettes,20 ct Box,879982000885,10 pk Carton,879982000892,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1839 Blue Premium (16 oz) Pipe Tobacco,1 ct Bag,879982002919,,,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1839 Blue Premium (16 oz) Roll Your Own Tobacco,1 ct Bag,187700000988,,,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1839 Blue Premium (6 oz) Pipe Tobacco,1 ct Bag,879982002858,,,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1839 Blue Premium (6 oz) Roll Your Own Tobacco,1 ct Bag,187700000957,,,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1839 Red 100s Filtered Cigarettes,20 ct Box,879982001189,10 pk Carton,879982001226,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1839 Red King Filtered Cigarettes,20 ct Box,879982000854,10 pk Carton,879982000861,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1839 Red Premium (16 oz) Pipe Tobacco,1 ct Bag,879982002926,,,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1839 Red Premium (16 oz) Roll Your Own Tobacco,1 ct Bag,187700000971,,,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1839 Red Premium (6 oz) Pipe Tobacco,1 ct Bag,879982002865,,,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1839 Red Premium (6 oz) Roll Your Own Tobacco,1 ct Bag,187700000940,,,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1839 Silver 100s Filtered Cigarettes,20 ct Box,879982001202,10 pk Carton,879982001240,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1839 Silver King Filtered Cigarettes,20 ct Box,879982001158,10 pk Carton,879982001165,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
187 Nicaraguan Maduro Sixty 6 x 60 Cigars,,,25 pk Bundle,856713003964,Intertabac Imports Corp.
187 Nicaraguan Maduro Toro 6 x 50 Cigars,,,25 pk Bundle,856713003865,Intertabac Imports Corp.
1st Class Blue 100s Filtered Cigarettes,20 ct Box,708926641252,10 pk Carton,708926641245,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1st Class Blue King Filtered Cigarettes,20 ct Box,708926630225,10 pk Carton,708926630218,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1st Class Red 100s Filtered Cigarettes,20 ct Box,708926641153,10 pk Carton,708926641146,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1st Class Red King Filtered Cigarettes,20 ct Box,708926630157,10 pk Carton,708926630140,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
1st Class Silver 100s Filtered Cigarettes,20 ct Box,708926641450,10 pk Carton,708926641443,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
20 Acre Farm Gordito 6 x 60 Cigars,1 ct Cello,818578019061,20 pk Wood Box,818578019108,"SWI-DE, LLC d/b/a Drew Estate"
20 Acre Farm Robusto 5 1/4 x 54 Cigars,1 ct Cello,818578019047,20 pk Wood Box,818578019085,"SWI-DE, LLC d/b/a Drew Estate"
20 Acre Farm Toro 6 x 52 Cigars,1 ct Cello,818578019054,20 pk Wood Box,818578019092,"SWI-DE, LLC d/b/a Drew Estate"
211 Nicaraguan Connecticut Sixty 6 x 60 Cigars,,,25 pk Bundle,856713005043,Intertabac Imports Corp.
211 Nicaraguan Connecticut Toro 6 x 50 Cigars,,,25 pk Bundle,856713005050,Intertabac Imports Corp.
24/7 Gold 100s Filtered Cigarettes,20 ct Box,685141910076,10 pk Carton,685141913077,"Xcaliber International, Ltd., L.L.C."
24/7 Gold King Filtered Cigarettes,20 ct Box,685141910045,10 pk Carton,685141913046,"Xcaliber International, Ltd., L.L.C."
24/7 Red 100s Filtered Cigarettes,20 ct Box,685141910038,10 pk Carton,685141913039,"Xcaliber International, Ltd., L.L.C."
24/7 Red King Filtered Cigarettes,20 ct Box,685141910007,10 pk Carton,685141913008,"Xcaliber International, Ltd., L.L.C."
24/7 Silver 100s Filtered Cigarettes,20 ct Box,685141910113,10 pk Carton,685141913114,"Xcaliber International, Ltd., L.L.C."
38 Special Blue 100s Filtered Cigars,20 ct Box,844504003132,10 pk Carton,844504003187,Lake Erie Tobacco Company
38 Special Original 100s Filtered Cigars,20 ct Box,844504003125,10 pk Carton,844504003170,Lake Erie Tobacco Company
4K's Wraps Cigar Wrappers,4 ct Pouch,842426162654,30 pk Display Box,842426162661,"Rolida Investments, Inc."
5150 Nicaraguan Sumatra Sixty 6 x 60 Cigars,,,25 pk Bundle,856713004138,Intertabac Imports Corp.
5150 Nicaraguan Sumatra Toro 6 x 50 Cigars,,,25 pk Bundle,856713003926,Intertabac Imports Corp.
601 Blue Maduro Robusto 5 1/4 x 52 Cigars,,,20 pk Wood Box,9090900296,Espinosa Premium Cigars
601 Blue Maduro Toro 6 1/4 x 54 Cigars,,,20 pk Wood Box,9090900294,Espinosa Premium Cigars
601 Red Habano Robusto 5 x 50 Cigars,,,20 pk Wood Box,9090900276,Espinosa Premium Cigars
601 Red Habano Toro 6 x 50 Cigars,,,20 pk Wood Box,9090900274,Espinosa Premium Cigars
A Bronx Tale Calogero Gordo 6 x 60 Cigars,,,20 pk Wood Box,783583328289,All American Tobacco LLC for Zander Greg Imports
A Bronx Tale Calogero Robusto 5 x 52 Cigars,,,20 pk Wood Box,783583328272,All American Tobacco LLC for Zander Greg Imports
A Bronx Tale Calogero Toro 6 x 54 Cigars,,,20 pk Wood Box,783583328265,All American Tobacco LLC for Zander Greg Imports
A Bronx Tale Calogero Torpedo 6 x 52 Cigars,,,20 pk Wood Box,783583328296,All American Tobacco LLC for Zander Greg Imports
A Bronx Tale Limited Edition Toro 6 1/2 x 54 Cigars,,,10 pk Wood Box,783583327947,All American Tobacco LLC for Zander Greg Imports
A Bronx Tale Sonny Limited Edition Toro 6 1/2 x 54 Cigars,,,12 pk Wood Box,783583328739,All American Tobacco LLC for Zander Greg Imports
Accomplice Classic Robusto 5 x 50 Cigars,,695510125505,20 pk Wood Box,695510125512,"Principle Cigars, Inc."
Accomplice Classic Toro 6 x 52 Cigars,,695510125529,20 pk Wood Box,695510125604,"Principle Cigars, Inc."
Accomplice Connecticut Toro 6 x 52 Cigars,,695510125598,20 pk Wood Box,695510125604,"Principle Cigars, Inc."
Accomplice Maduro Robusto 5 x 50 Cigars,,695510125703,20 pk Wood Box,695510125710,"Principle Cigars, Inc."
Accomplice Maduro Toro 6 x 52 Cigars,,695510125697,20 pk Wood Box,695510126236,"Principle Cigars, Inc."
Ace Blue 100s Filtered Cigarettes,20 ct Box,767321933669,10 pk Carton,767321933164,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
Ace Red 100s Filtered Cigarettes,20 ct Box,767321963666,10 pk Carton,767321963161,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
Ace Red King Filtered Cigarettes,20 ct Box,767321914774,10 pk Carton,767321914170,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
Ace Yellow 100s Filtered Cigarettes,20 ct Box,767321973665,10 pk Carton,767321973160,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
Ace Yellow King Filtered Cigarettes,20 ct Box,767321924773,10 pk Carton,767321924179,"U.S. FLUE-CURED TOBACCO GROWERS, INC."
ADVentura Cigars Barbarroja's Invasion San Andrés Robusto 5 x 52 Cigars,,,20 pk Wood Box,7427039062145,ADV & McKay Cigars Co. S.R.L.
ADVentura Cigars Barbarroja's Invasion San Andrés Toro 6 x 54 Cigars,,,20 pk Wood Box,7427039062152,ADV & McKay Cigars Co. S.R.L.
ADVentura Cigars Blue Eyed Jack's Revenge San Andrés Colorado Robusto 5 x 52 Cigars,,,20 pk Wood Box,7427039062350,ADV & McKay Cigars Co. S.R.L.
ADVentura Cigars Blue Eyed Jack's Revenge San Andrés Colorado Toro 6 x 54 Cigars,,,20 pk Wood Box,7427039062244,ADV & McKay Cigars Co. S.R.L.
ADVentura Cigars The Royal Return King's Gold Connecticut Broadleaf Robusto 5 x 52 Cigars,,,20 pk Wood Box,7427039061780,ADV & McKay Cigars Co. S.R.L.
ADVentura Cigars The Royal Return King's Gold Connecticut Broadleaf Toro 6 x 54 Cigars,,,20 pk Wood Box,7427039061297,ADV & McKay Cigars Co. S.R.L.
ADVentura Cigars The Royal Return Queen's Pearls Connecticut Shade Robusto 5 x 52 Cigars,,,20 pk Wood Box,7427039061810,ADV & McKay Cigars Co. S.R.L.
ADVentura Cigars The Royal Return Queen's Pearls Connecticut Shade Toro 6 x 54 Cigars,,,20 pk Wood Box,7427039061827,ADV & McKay Cigars Co. S.R.L.
Aganorsa Leaf Aniversario Connecticut Gran Robusto 5 x 54 Cigars,,,10 pk Wood Box,7427025680162,Tropical Tobacco Inc
Aganorsa Leaf Aniversario Connecticut Toro 6 1/4 x 52 Cigars,,,10 pk Wood Box,7427025680155,Tropical Tobacco Inc
Aganorsa Leaf Aniversario Corojo Gran Robusto 5 x 54 Cigars,,,10 pk Wood Box,7427025678305,Tropical Tobacco Inc
Aganorsa Leaf Aniversario Corojo Toro 6 1/4 x 52 Cigars,,,10 pk Wood Box,7427025678817,Tropical Tobacco Inc
Aganorsa Leaf Aniversario Corojo Toro 6 x 58 Cigars,,,10 pk Wood Box,7427025678336,Tropical Tobacco Inc
Aganorsa Leaf Aniversario Maduro Gran Robusto 5 x 54 Cigars,,,10 pk Wood Box,7427025678770,Tropical Tobacco Inc
Aganorsa Leaf Aniversario Maduro Toro 6 1/4 x 52 Cigars,,,10 pk Wood Box,7427025678787,Tropical Tobacco Inc
Aganorsa Leaf Aniversario Maduro Toro 6 x 58 Cigars,,,10 pk Wood Box,7427025678763,Tropical Tobacco Inc
Aganorsa Leaf Arsenio Corojo Robusto 5 1/4 x 54 Cigars,,,15 pk Wood Box,7427025680438,Tropical Tobacco Inc
Aganorsa Leaf Arsenio Corojo Toro 6 x 52 Cigars,,,15 pk Wood Box,7427025680469,Tropical Tobacco Inc
Aganorsa Leaf Rare Leaf Corojo Toro 6 x 54 Cigars,,,15 pk Wood Box,7427025678107,Tropical Tobacco Inc
Aganorsa Leaf Rare Leaf Maduro Robusto 5 1/4 x 52 Cigars,,,15 pk Wood Box,7427025678237,Tropical Tobacco Inc
Aganorsa Leaf Rare Leaf Maduro Toro 6 x 54 Cigars,,,15 pk Wood Box,7427025678244,Tropical Tobacco Inc
Aganorsa Leaf Rare Leaf Maduro Torpedo 6 1/4 x 52 Cigars,,,15 pk Wood Box,7427025680087,Tropical Tobacco Inc
Aganorsa Leaf Validacion Connecticut 6 1/4 x 52 Cigars,,,15 pk Wood Box,7427025678596,Tropical Tobacco Inc
Aganorsa Leaf Validacion Connecticut Gran Robusto 5 x 54 Cigars,,,15 pk Wood Box,7427025678619,Tropical Tobacco Inc
Aganorsa Leaf Validacion Connecticut Toro 6 x 58 Cigars,,,15 pk Wood Box,7427025678602,Tropical Tobacco Inc
Aganorsa Leaf Validacion Corojo 6 1/4 x 52 Cigars,,,15 pk Wood Box,7427025678657,Tropical Tobacco Inc
Aganorsa Leaf Validacion Corojo Gran Robusto 5 x 54 Cigars,,,15 pk Wood Box,7427025678671,Tropical Tobacco Inc
Aganorsa Leaf Validacion Corojo Toro 6 x 58 Cigars,,,15 pk Wood Box,7427025678664,Tropical Tobacco Inc
Aganorsa Leaf Validacion Habano Toro 6 1/4 x 52 Cigars,,,15 pk Wood Box,7427025678701,Tropical Tobacco Inc
Aganorsa Leaf Validacion Habano Toro 6 x 58 Cigars,,,15 pk Wood Box,7427025678695,Tropical Tobacco Inc
Aganorsa Leaf Validacion Maduro 6 1/4 x 52 Cigars,,,15 pk Wood Box,7427025678640,Tropical Tobacco Inc
Aganorsa Leaf Validacion Maduro Gran Robusto 5 x 54 Cigars,,,15 pk Wood Box,7427025678626,Tropical Tobacco Inc
Aganorsa Leaf Validacion Maduro Gran Robusto 5 x 54 Cigars,,,15 pk Wood Box,7427025678626,Tropical Tobacco Inc
Aganorsa Leaf Validacion Maduro Toro 6 x 58 Cigars,,,15 pk Wood Box,7427025678633,Tropical Tobacco Inc
Aging Room Quattro Concerto Espressivo Nicaragua 5 x 50 Cigars,1 ct Cello,811438025424,20 pk Wood Box,811438025431,Altadis U.S.A. LLC
Aging Room Quattro Concerto Impromptu Nicaragua 6 1/2 x 52 Cigars,1 ct Cello,811438025509,10 pk Wood Box,811438025493,Altadis U.S.A. LLC
Aging Room Quattro Concerto Maestro Nicaragua 6 x 52 Cigars,1 ct Cello,811438025448,20 pk Wood Box,811438025455,Altadis U.S.A. LLC
Aging Room Quattro Concerto Maestro Nicaragua 6 x 52 Cigars,1 ct Cello,811438025448,10 pk Wood Box,811438025462,Altadis U.S.A. LLC
Aging Room Quattro Concerto Nicaragua 7 x 50 Cigars,1 ct Cello,811438024809,20 pk Wood Box,811438024816,Altadis U.S.A. LLC
Aging Room Quattro Concerto Nicaragua 7 x 50 Cigars,1 ct Cello,811438025479,20 pk Wood Box,811438025486,Altadis U.S.A. LLC
Aging Room Quattro Concerto Nicaragua Grande 6 x 60 Cigars,1 ct Cello,811438025516,20 pk Wood Box,811438025523,Altadis U.S.A. LLC
Aging Room Quattro Concerto Vibrato Nicaragua 6 x 54 Cigars,1 ct Cello,811438025530,20 pk Wood Box,811438025547,Altadis U.S.A. LLC
Aging Room Quattro Espressivo Nicaragua 5 x 50 Cigars,1 ct Cello,811438024762,20 pk Wood Box,811438024779,Altadis U.S.A. LLC
Aging Room Quattro Impromptu Nicaragua 6 1/2 x 52 Cigars,1 ct Cello,811438024953,10 pk Wood Box,811438024960,Altadis U.S.A. LLC
Aging Room Quattro Maestro Nicaragua 6 x 52 Cigars,1 ct Cello,811438024823,20 pk Wood Box,811438024830,Altadis U.S.A. LLC
Aging Room Quattro Maestro Nicaragua 6 x 52 Cigars,1 ct Cello,811438024823,10 pk Wood Box,811438024946,Altadis U.S.A. LLC
Aging Room Quattro Nicaragua Grande 6 x 60 Cigars,1 ct Cello,811438025196,20 pk Wood Box,811438025202,Altadis U.S.A. LLC
Aging Room Quattro Sonata Concerto Nicaragua 7 x 50 Cigars,1 ct Cello,811438025288,20 pk Wood Box,811438025295,Altadis U.S.A. LLC
Aging Room Quattro Sonata Espressivo Nicaragua 5 x 50 Cigars,1 ct Cello,811438025219,20 pk Wood Box,811438025035,Altadis U.S.A. LLC
Aging Room Quattro Sonata Impromptu Nicaragua 6 1/2 x 52 Cigars,1 ct Cello,811438025301,10 pk Wood Box,811438025318,Altadis U.S.A. LLC
Aging Room Quattro Sonata Maestro Nicaragua 6 x 52 Cigars,1 ct Cello,811438025226,20 pk Wood Box,811438025233,Altadis U.S.A. LLC
Aging Room Quattro Sonata Maestro Nicaragua 6 x 52 Cigars,1 ct Cello,811438025226,10 pk Wood Box,811438025264,Altadis U.S.A. LLC
Aging Room Quattro Sonata Nicaragua Grande 6 x 60 Cigars,1 ct Cello,811438025325,20 pk Wood Box,811438025332,Altadis U.S.A. LLC
Aging Room Quattro Sonata Vibrato Nicaragua 6 x 54 Cigars,1 ct Cello,811438025240,20 pk Wood Box,811438025257,Altadis U.S.A. LLC
Aging Room Quattro Vibrato Nicaragua 6 x 54 Cigars,1 ct Cello,811438024786,20 pk Wood Box,811438024793,Altadis U.S.A. LLC
Aging Room Quattro Vibrato Nicaragua 6 x 54 Cigars,1 ct Cello,811438024786,4 pk Pack,811438024939,Altadis U.S.A. LLC
AJ Fernandez New World Cigar Portfolio (Sampler) Cigars,5 ct Mixed Pack,810194082382,,,AJ Fernandez Cigar Company
AJ Hernandez Cigar Company Portfolio (Sampler) Cigars,5 ct Mixed Pack,810194082375,,,AJ Fernandez Cigar Company
Aksum Claro Corona 5 1/2 x 48 Cigars,,,10 pk Wood Box,793585935361,All American Tobacco LLC for Foundation Cigar Company
Aksum Claro Double Corona 7 x 54 Cigars,,,10 pk Wood Box,793585935347,All American Tobacco LLC for Foundation Cigar Company
Aksum Claro Robusto 5 x 50 Cigars,,,10 pk Wood Box,793585935323,All American Tobacco LLC for Foundation Cigar Company
Aksum Claro Toro 6 x 52 Cigars,,,10 pk Wood Box,793585935309,All American Tobacco LLC for Foundation Cigar Company
Aksum Maduro Corona 5 1/2 x 48 Cigars,,,10 pk Wood Box,793585935286,All American Tobacco LLC for Foundation Cigar Company
Aksum Maduro Double Corona 7 x 54 Cigars,,,10 pk Wood Box,793585935262,All American Tobacco LLC for Foundation Cigar Company
Aksum Maduro Robusto 5 x 50 Cigars,,,10 pk Wood Box,793585935248,All American Tobacco LLC for Foundation Cigar Company
Aksum Maduro Toro 6 x 52 Cigars,,,10 pk Wood Box,793585935224,All American Tobacco LLC for Foundation Cigar Company
Aladino 85 Aniversario Reserva Robusto 5 x 50 Cigars,1 ct Cello,850006557714,20 pk Wood Box,850006557721,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino 85 Aniversario Reserva Toro 6 x 52 Cigars,1 ct Cello,850006557738,20 pk Wood Box,850006557745,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Cameroon Elegante 7 x 38 Cigars,1 ct Cello,850006557318,20 pk Wood Box,850006557325,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Cameroon Gordo 6 1/2 x 60 Cigars,1 ct Cello,850006557400,20 pk Wood Box,850006557417,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Cameroon Lonsdale 6 x 43 Cigars,1 ct Cello,850006557233,24 pk Wood Box,850006557219,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Cameroon Queens 5 1/4 x 46 Cigars,1 ct Cello,850006557387,20 pk Wood Box,850006557394,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Cameroon Robusto 5 x 50 Cigars,1 ct Cello,850006557226,24 pk Wood Box,850006557240,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Cameroon Super Toro 6 x 52 Cigars,1 ct Cello,850006557257,24 pk Wood Box,850006557264,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Classic Gordo 6 1/2 x 60 Cigars,1 ct Cello,850006557486,20 pk Wood Box,850006557493,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Classic Robusto 5 x 50 Cigars,1 ct Cello,850006557448,20 pk Wood Box,850006557455,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Classic Toro 6 x 50 Cigars,1 ct Cello,850006557462,20 pk Wood Box,850006557479,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Connecticut Churchill 7 x 52 Cigars,1 ct Cello,850006557080,20 pk Wood Box,850006557097,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Connecticut Gordo 6 1/2 x 60 Cigars,1 ct Cello,850006557363,20 pk Wood Box,850006557370,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Connecticut Queens 5 1/4 x 46 Cigars,1 ct Cello,850006557103,20 pk Wood Box,850006557110,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Connecticut Robusto 5 x 50 Cigars,1 ct Cello,850006557042,20 pk Wood Box,850006557059,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Connecticut Toro 6 x 50 Cigars,1 ct Cello,850006557066,20 pk Wood Box,850006557073,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Corojo Churchill 7 x 48 Cigars,1 ct Cello,852777007009,20 pk Wood Box,852777007016,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Corojo Elegante 7 x 38 Cigars,1 ct Cello,852777007047,20 pk Wood Box,852777007054,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Corojo Gordo 6 1/2 x 60 Cigars,1 ct Cello,852777007160,20 pk Wood Box,852777007177,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Corojo Reserva Figurado 6 1/4 x 54 Cigars,1 ct Cello,850006557349,10 pk Wood Box,850006557356,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Corojo Reserva Robusto 5 x 50 Cigars,1 ct Cello,852777007498,20 pk Wood Box,852777007504,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Corojo Reserva Toro 6 x 52 Cigars,1 ct Cello,850006557028,20 pk Wood Box,850006557035,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Corojo Robusto 5 x 50 Cigars,1 ct Cello,852777007108,20 pk Wood Box,852777007115,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Corojo Santi 5 1/2 x 32 Cigars,1 ct Cello,852777007269,50 pk Wood Box,852777007276,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Corojo Toro 6 x 50 Cigars,1 ct Cello,852777007306,20 pk Wood Box,852777007313,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Fuma Noche Toro 6 1/4 x 54 Cigars,1 ct Cello,850006557608,16 pk Wood Box,850006557615,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Maduro Box Pressed Robusto 5 x 50 Cigars,1 ct Cello,852777007337,20 pk Wood Box,852777007344,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Maduro Box Pressed Toro 6 x 50 Cigars,1 ct Cello,852777007436,20 pk Wood Box,852777007443,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Maduro Elegante 7 x 38 Cigars,1 ct Cello,852777007986,20 pk Wood Box,852777007993,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Maduro Gordo 6 1/2 x 60 Cigars,1 ct Cello,850006557585,20 pk Wood Box,850006557592,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Vintage Selection Rothschild 4 1/2 x 48 Cigars,1 ct Cello,850006557271,50 pk Wood Box,850006557288,JRE Cigars Inc dba JRE Tobacco Corporation
Aladino Vintage Selection Toro 6 x 50 Cigars,1 ct Cello,850006557295,20 pk Wood Box,850006557301,JRE Cigars Inc dba JRE Tobacco Corporation
Al Capone Blues Cigarillos,10 ct Box,717519001502,,,Inter-Continental Cigar Corporation
Al Capone Blues Filtered Cigarillos,10 ct Box,717519001519,,,Inter-Continental Cigar Corporation
Al Capone Gold Cigarillos,2 ct Foil,717519000659,,,Inter-Continental Cigar Corporation
Al Capone Gold Cigarillos,10 ct Box,717519000703,,,Inter-Continental Cigar Corporation
Al Capone Gold Filtered Cigarillos,10 ct Box,717519000710,,,Inter-Continental Cigar Corporation
Al Capone Gold Filtered Cigarillos,2 ct Foil,717519000666,,,Inter-Continental Cigar Corporation
Al Capone Wrap Original Cigar Wrappers,1 ct Foil,717519095204,,,Inter-Continental Cigar Corporation
Alcazar #3 Maduro 6 x 50 Cigars,1 ct Cello,76622160033,20 pk Wood Box,76622600300,J.C. Newman Cigar Co.
Alcazar #4 Maduro 5 x 52 Cigars,1 ct Cello,76622160040,20 pk Wood Box,76622600409,J.C. Newman Cigar Co.
Alcazar #5 Maduro 6 1/2 x 52 Cigars,1 ct Cello,76622160057,20 pk Wood Box,76622600508,J.C. Newman Cigar Co.
Alcazar Maduro #1 8 x 52 Cigars,1 ct Cello,76622160019,20 pk Bundle,76622600102,J.C. Newman Cigar Co.
Alcazar Maduro #2 7 x 50 Cigars,1 ct Cello,76622160026,20 pk Bundle,76622600201,J.C. Newman Cigar Co.
Alec Bradley American Classic Blend Churchill 7 x 48 Cigars,1 ct,,24 pk Wood Box,815337016811,"General Cigar Company, Inc."
Alec Bradley American Classic Blend Gordo 6 x 60 Cigars,1 ct,,24 pk Wood Box,815337016835,"General Cigar Company, Inc."
Alec Bradley American Classic Blend Robusto 5 x 50 Cigars,1 ct,,24 pk Wood Box,815337016798,"General Cigar Company, Inc."
Alec Bradley American Classic Blend Toro 6 x 50 Cigars,1 ct,,24 pk Wood Box,815337016804,"General Cigar Company, Inc."
Alec Bradley American Sun Grown Blend Churchill 7 x 48 Cigars,1 ct,,24 pk Wood Box,815337016873,"General Cigar Company, Inc."
Alec Bradley American Sun Grown Blend Gordo 6 x 60 Cigars,1 ct,,24 pk Wood Box,815337016897,"General Cigar Company, Inc."
Alec Bradley American Sun Grown Blend Robusto 5 x 50 Cigars,1 ct,,24 pk Wood Box,815337016859,"General Cigar Company, Inc."
Alec Bradley American Sun Grown Blend Toro 6 x 50 Cigars,1 ct,,24 pk Wood Box,815337016866,"General Cigar Company, Inc."
Alec Bradley Black Market Churchill 7 x 50 Cigars,1 ct,,24 pk Wood Box,815337016934,"General Cigar Company, Inc."
Alec Bradley Black Market Esteli Churchill 7 x 50 Cigars,1 ct,,24 pk Wood Box,815337016996,"General Cigar Company, Inc."
Alec Bradley Black Market Esteli Gordo 6 x 60 Cigars,1 ct,,24 pk Wood Box,815337017016,"General Cigar Company, Inc."
Alec Bradley Black Market Esteli Robusto 5 x 52 Cigars,1 ct,815337016972,24 pk Wood Box,815337014664,"General Cigar Company, Inc."
Alec Bradley Black Market Esteli Toro 6 x 52 Cigars,1 ct,,24 pk Wood Box,815337016989,"General Cigar Company, Inc."
Alec Bradley Black Market Esteli Torpedo 6 1/4 x 52 Cigars,1 ct,,24 pk Wood Box,815337017009,"General Cigar Company, Inc."
Alec Bradley Black Market Filthy Ghooligan Toro 6 x 50 Cigars,1 ct,689674157342,24 pk Wood Box,689674157335,"General Cigar Company, Inc."
Alec Bradley Black Market Filthy Hooligan Barber Pole 6 x 50 Cigars,1 ct,815337017955,24 pk Wood Box,815337013988,"General Cigar Company, Inc."
Alec Bradley Black Market Filthy Hooligan Shamrock 6 x 50 Cigars,1 ct,815337015357,10 pk Wood Box,815337015364,"General Cigar Company, Inc."
Alec Bradley Black Market Gordo 6 x 60 Cigars,1 ct,,24 pk Wood Box,815337016958,"General Cigar Company, Inc."
Alec Bradley Black Market Gran Tubo 6 1/2 x 52 Cigars,1 ct,815337012653,10 pk Wood Box,815337012646,"General Cigar Company, Inc."
Alec Bradley Black Market Robusto 5 1/4 x 52 Cigars,1 ct,,24 pk Wood Box,815337016910,"General Cigar Company, Inc."
Alec Bradley Black Market Smalls Cigarillos,6 ct Tin,689674159636,5 pk Display Box,689674159643,"General Cigar Company, Inc."
Alec Bradley Black Market Toro 6 x 50 Cigars,1 ct,,24 pk Wood Box,815337016927,"General Cigar Company, Inc."
Alec Bradley Black Market Torpedo 6 1/8 x 54 Cigars,1 ct,,24 pk Wood Box,815337016941,"General Cigar Company, Inc."
Alec Bradley Chunk Maduro Double Extra Large 4 x 64 Cigars,1 ct,,20 pk Wood Box,689674157236,"General Cigar Company, Inc."
Alec Bradley Chunk Maduro Extra Large 4 x 60 Cigars,1 ct,,20 pk Wood Box,689674157205,"General Cigar Company, Inc."
Alec Bradley Chunk Maduro Large 3 x 58 Cigars,1 ct,,20 pk Wood Box,689674157175,"General Cigar Company, Inc."
Alec Bradley Chunk Maduro Quadruple Extra Large 4 x 80 Cigars,1 ct,689674157298,18 pk Wood Box,689674157281,"General Cigar Company, Inc."
Alec Bradley Chunk Maduro Triple Extra Large 4 x 66 Cigars,1 ct,,20 pk Wood Box,689674157267,"General Cigar Company, Inc."
Alec Bradley Chunk Shade Extra Large 4 x 60 Cigars,1 ct,,20 pk Wood Box,689674166863,"General Cigar Company, Inc."
Alec Bradley Chunk Shade Quadruple Extra Large 4 x 80 Cigars,1 ct,,18 pk Wood Box,689674166924,"General Cigar Company, Inc."
Alec Bradley Chunk Shade Triple Extra Large 4 x 66 Cigars,1 ct,,20 pk Wood Box,689674166894,"General Cigar Company, Inc."
Alec Bradley Connecticut Gordo 6 x 60 Cigars,1 ct,,24 pk Wood Box,815337017139,"General Cigar Company, Inc."
Alec Bradley Connecticut Robusto 5 x 50 Cigars,1 ct,,24 pk Wood Box,815337017061,"General Cigar Company, Inc."
